Especie,Area_cm2,Circularidad,Relacion_Aspecto,Color_H,Color_S,Color_V,Contraste,Entropia,Homogeneidad,Brillo
V01,29.527908871833972,0.7086281275897632,1.9370904325032765,5.759431346172001,32.87408505954067,195.05388329220105,7.706823430707704,8.95314013283128,0.7658166739728275,195.05388329220105
V01,22.710915554293468,0.7359754508004915,0.7481132075471698,5.769869208767327,26.888033366031944,195.69707076830844,6.044334668448094,8.064105758224363,0.8197593786113715,195.69707076830844
V01,46.458607637111086,0.6765522513920792,1.928348909657321,6.6774884885772,35.9476541252835,191.15497662384007,5.577792399610756,9.777695109944355,0.7714659906765763,191.15497662384007
V01,33.895488166915136,0.8181555910023413,1.5450500556173525,7.931329501958253,22.724064456567085,191.55633644189723,4.5135190744023355,9.57221159928335,0.7969415205149765,191.55633644189723
V01,38.86741128800153,0.7717415574808638,0.6629986244841816,7.980296398709081,23.240974765461058,189.03570027690287,5.372188859723086,9.22681553571918,0.7830857766882311,189.03570027690287
V01,35.27506098345065,0.5903171532829146,0.49259039715471253,6.167812829699314,29.078022999274662,197.4764144787454,7.117924927350433,9.298394240631382,0.7750570250967503,197.4764144787454
V01,41.505241773726965,0.6954510580023425,1.8232758620689655,7.220837103643339,36.92624867248965,186.80517498753767,8.228011290474871,10.207491596325202,0.7381749609574287,186.80517498753767
V01,19.361249542273814,0.7989842500122131,1.223514211886305,7.318258486190175,32.307280654197164,182.79511084003494,7.474462700445169,9.635058217075168,0.7954379078753862,182.79511084003494
V01,45.39710009783726,0.620902331679795,2.051054384017758,8.349807310198235,27.73738028125626,189.41497712675016,3.8274395442871327,9.933286445923326,0.8041780589021938,189.41497712675016
V01,31.06222149871517,0.6010270529484755,0.5299319727891156,6.7275811536310295,24.63103050364142,196.38655194913184,6.606358686696321,8.762439088079724,0.7929416099942228,196.38655194913184
V01,35.70180591348275,0.7040609790182842,0.7012601927353596,6.535242276964131,22.48589695609563,198.60981130020863,4.338450443036012,8.08698624767362,0.8288211516922142,198.60981130020863
V02,40.15043596650118,0.6350065293809455,0.43593919652551577,8.217878690474034,37.731515938984565,182.3206796327484,7.083678127989856,10.972614608165092,0.7417873986420674,182.3206796327484
V02,39.081566721698515,0.6547561285746708,0.44872521246458924,7.456129242920579,44.51343674434812,181.49896721653687,5.538383975171569,10.926934628544103,0.7599741831489424,181.49896721653687
V02,56.9599815779529,0.6899514811157752,0.4642857142857143,6.226468153779282,36.5105029640522,190.95997997761933,7.775971592610929,10.116509094874973,0.749272352989969,190.95997997761933
V02,39.61472339521831,0.6754976038872998,2.1197097944377266,7.477958647604037,39.47283650418402,189.3401883747983,5.1986633506956785,10.714948364535687,0.7655636257241691,189.3401883747983
V02,57.90974958685264,0.6808611913837995,2.1355759429153927,6.662872320397678,39.82514421617245,185.70765986203563,6.981079157069499,11.694633714256952,0.705120390527435,185.70765986203563
V02,66.82414500747007,0.6003916864396546,0.3989273927392739,6.202041917575819,42.30369392862842,199.16160628049755,5.773109874317541,10.518268770128604,0.7520210774664791,199.16160628049755
V02,56.183042655820564,0.7529445579647926,1.8351012536162006,7.429294143234852,40.56363108407159,192.19115519085796,2.834741618689095,10.903733679472403,0.7987198052671616,192.19115519085796
V02,38.95794766651017,0.6304604435320147,1.283387622149837,5.414500710243206,35.1744393919893,205.83335320990963,3.9102021609894906,8.582055709155162,0.8134606304384003,205.83335320990963
V02,59.19840803999905,0.72487495885547,1.0701863354037267,4.592495307323791,35.94188054384009,209.17932294978047,2.685283887984415,8.002093299530436,0.8093314636802695,209.17932294978047
V02,43.62546696387127,0.6802871353228508,1.0414651002073254,5.262228969145163,41.48840781331268,206.34780084281715,4.074092175213316,9.138118029423053,0.7708142462658729,206.34780084281715
V02,60.24096233741014,0.6814579486753118,0.4721698113207547,7.890555989566956,32.962153895318316,188.47664630462197,6.70772859653083,10.42754510207044,0.740385375522291,188.47664630462197
V02,45.604811789286515,0.683789106301959,1.02280348759222,5.614663860290636,44.045109026656675,197.65597919416248,4.5123627150487975,9.44977304818874,0.7623931624101453,197.65597919416248
V02,49.28778846874615,0.5914098106276279,2.2618025751072963,6.163145598984549,46.49263962445835,195.4831785901869,4.008746836990916,9.469031425470913,0.7869359727307805,195.4831785901869
V02,59.17889682045564,0.6083084626302987,2.543550165380375,7.031557283155662,46.77595066439053,191.57487926623062,3.2867112526015574,10.35473668922786,0.7925028511873506,191.57487926623062
V02,30.508005667570103,0.7893571563080517,1.754077791718946,6.996934405910515,45.830537341726,197.61689211850194,5.630018916675654,9.984486424889932,0.7417908211390373,197.61689211850194
V02,54.7148413844587,0.6432977583860239,2.215727948990436,7.405345037576442,46.28896455549348,199.91178847170582,4.009354099431001,9.879433527606643,0.7584117881989016,199.91178847170582
V02,27.55898562955123,0.6731876907967087,0.4497001998667555,9.988950570791857,19.368935487967182,184.0801027880931,10.043569183510328,10.086069423245975,0.7453247514737522,184.0801027880931
V02,47.26882722800336,0.6724697329253604,0.45245559038662486,7.859219897195552,47.729724496135006,192.3027865588819,4.865030387944922,10.617629088705353,0.7313712242426569,192.3027865588819
V02,72.46492137415909,0.6911996896911415,2.2358490566037736,8.021993644167246,24.969948075134486,185.62112892741104,2.513320186261069,10.220861896007658,0.8071129310161619,185.62112892741104
V02,32.543994227213325,0.7769852322522861,0.5570745044429255,6.099221035110567,42.88237895780647,194.01324192019112,4.905706733121866,9.003943229028545,0.7688925099456952,194.01324192019112
V02,53.65092194166198,0.6711422315872462,0.4492337164750958,7.828635890296595,39.319046722974925,203.888530023669,3.3877675283672914,10.175688974311084,0.7586242577333497,203.888530023669
V02,44.63922241324779,0.6083284157658824,2.2808607021517555,6.130899147744642,47.29533552205226,190.50365387672255,3.046197795075641,9.341164567300645,0.8185701466040544,190.50365387672255
V02,53.87227708736761,0.6746848719808556,0.45095168374816985,7.776936453249545,46.84796500594052,192.85956306274943,4.760238925663941,10.503189830249479,0.7235724500629024,192.85956306274943
V02,44.66055156007339,0.6296401661382807,2.526315789473684,8.076331368445954,41.63892307648979,185.89363979192657,4.657501256926149,10.817364660714547,0.772195536182333,185.89363979192657
V02,39.67853084289489,0.6365837966791718,2.3207070707070705,6.962393195708071,28.349628898348254,191.32280164946016,4.816786655078286,9.599386031316884,0.7899049723977769,191.32280164946016
